 Serial No,Playerss,Year,Matches,Runss,Average,Higest_score,Strike Rate,NO,Fifty,Four,Six
389,Alex Carey,2020,3,32,16,14*,110.34,1,0,0,1
390,Murali Vijay,2020,3,32,10.66,21,74.41,0,0,4,0
391,Chris Jordan,2020,9,29,9.66,13,93.54,2,0,2,0
392,Navdeep Saini,2020,13,27,27,12*,100,2,0,3,0
393,Nathan Coulter-Nile,2020,7,25,25,24*,166.66,1,0,4,0
394,Kamlesh Nagarkoti,2020,10,22,7.33,8*,70.96,3,0,1,0
395,Harshal Patel,2020,5,21,10.5,16,87.5,0,0,2,0
396,Tushar Deshpande,2020,5,21,21,20*,175,1,0,2,1
397,Jimmy Neesham,2020,5,19,9.5,10*,105.55,1,0,0,1
398,Tom Banton,2020,2,18,9,10,90,0,0,1,1
399,Mohammed Siraj,2020,9,17,17,10*,121.42,2,0,2,0
400,Karun Nair,2020,4,16,8,15*,114.28,1,0,2,0
401,Prabhsimran Singh,2020,2,15,7.5,11,100,0,0,2,0
402,Isuru Udana,2020,10,15,5,10*,136.36,1,0,1,1
403,James Pattinson,2020,10,15,15,11,115.38,1,0,2,0
404,Imran Tahir,2020,3,13,0,13*,130,1,0,2,0
405,Kuldeep Yadav,2020,5,13,13,12,61.9,1,0,1,0
406,Moeen Ali,2020,3,12,4,11,75,0,0,1,0
407,Shardul Thakur,2020,9,12,12,11,57.14,1,0,0,0
408,Sandeep Sharma,2020,13,12,6,9,80,3,0,1,0
409,Mohammad Nabi,2020,1,11,0,11*,137.5,1,0,2,0
410,Rinku Singh,2020,1,11,11,11,100,0,0,1,0
411,Shivam Mavi,2020,8,10,5,9,71.42,1,0,1,0
412,Varun Chakaravarthy,2020,13,10,5,7*,66.66,1,0,0,0
413,Ankit Rajpoot,2020,6,9,9,7*,90,1,0,0,1
414,Jaydev Unadkat,2020,7,9,9,9,69.23,0,0,0,0
415,Pravin Dubey,2020,3,7,0,7*,53.84,1,0,0,0
416,Dwayne Bravo,2020,6,7,3.5,7,116.66,0,0,0,0
417,Shahbaz Nadeem,2020,7,7,7,5,87.5,1,0,1,0
418,Deepak Chahar,2020,14,7,7,5*,58.33,2,0,0,0
419,Ravi Bishnoi,2020,14,7,7,6*,58.33,2,0,1,0
420,Anrich Nortje,2020,16,7,7,3*,116.66,4,0,0,0
421,Andrew Tye,2020,1,6,6,6,100,0,0,0,1
422,Jasprit Bumrah,2020,15,5,0,5*,166.66,1,0,0,0
423,Murugan Ashwin,2020,9,4,4,4,100,0,0,0,0
424,Kartik Tyagi,2020,10,4,4,2*,66.66,2,0,0,0
425,Dhawal Kulkarni,2020,1,3,0,3*,150,1,0,0,0
426,T Natarajan,2020,16,3,0,3*,60,3,0,0,0
427,Prasidh Krishna,2020,6,2,0,2*,50,2,0,0,0
428,Mohammad Shami,2020,14,2,2,2*,66.66,2,0,0,0
429,Rahul Chahar,2020,15,2,0,2*,50,1,0,0,0
430,Nikhil Naik,2020,1,1,1,1,33.33,0,0,0,0
431,Mujeeb Ur Rahman,2020,2,1,1,1,33.33,0,0,0,0
432,Shahbaz Ahmed,2020,2,1,0,1*,100,1,0,0,0
433,Dale Steyn,2020,3,1,0,1*,50,1,0,0,0
434,Varun Aaron,2020,3,1,1,1,10,1,0,0,0
435,Yuzvendra Chahal,2020,15,1,1,1,33.33,1,0,0,0
436,Mitchell Marsh,2020,1,0,0,0*,0,0,0,0,0
437,Shreevats Goswami,2020,2,0,0,0*,0,0,0,0,0
438,Umesh Yadav,2020,2,0,0,0*,0,0,0,0,0
439,Daniel Sams,2020,3,0,0,0*,0,0,0,0,0
440,Bhuvneshwar Kumar,2020,4,0,0,0*,0,0,0,0,0
441,Sheldon Cottrell,2020,6,0,0,0*,0,0,0,0,0
442,Khaleel Ahmed,2020,7,0,0,0*,0,0,0,0,0
443,Arshdeep Singh,2020,8,0,0,0*,0,0,0,0,0
444,Trent Boult,2020,15,0,0,0*,0,0,0,0,0
445,David Warner,2019,12,692,69.2,100*,143.86,2,8,57,21
446,KL Rahul,2019,14,593,53.9,100*,135.38,3,6,49,25
447,Quinton de Kock,2019,16,529,35.26,81,132.91,1,4,45,25
448,Shikhar Dhawan,2019,16,521,34.73,97*,135.67,1,5,64,11
449,Andre Russell,2019,14,510,56.66,80*,204.81,4,4,31,52
450,Chris Gayle,2019,13,490,40.83,99*,153.6,1,4,45,34
451,Rishabh Pant,2019,16,488,37.53,78*,162.66,3,3,37,27
452,Virat Kohli,2019,14,464,33.14,100,141.46,0,2,46,13
453,Shreyas Iyer,2019,16,463,30.86,67,119.94,1,3,41,14
454,Jonny Bairstow,2019,10,445,55.62,114,157.24,2,2,48,18
455,AB de Villiers,2019,13,442,44.2,82*,154,3,5,31,26
456,Suryakumar Yadav,2019,16,424,32.61,71*,130.86,2,2,45,10
457,MS Dhoni,2019,15,416,83.2,84*,134.62,7,3,22,23
458,Chris Lynn,2019,13,405,31.15,82,139.65,0,4,41,22
459,Rohit Sharma,2019,15,405,28.92,67,128.57,1,2,52,10
460,Hardik Pandya,2019,16,402,44.66,91,191.42,6,1,28,29
461,Shane Watson,2019,17,398,23.41,96,127.56,0,3,42,20
462,Faf du Plessis,2019,12,396,36,96,123.36,1,3,36,15
463,Ajinkya Rahane,2019,14,393,32.75,105*,137.89,1,1,45,9
464,Suresh Raina,2019,17,383,23.93,59,121.97,1,3,45,9
465,Parthiv Patel,2019,14,373,26.64,67,139.17,0,2,48,10
466,Prithvi Shaw,2019,16,353,22.06,99,133.71,0,2,45,9
467,Manish Pandey,2019,12,344,43,83*,130.79,3,3,34,6
468,Nitish Rana,2019,14,344,34.4,85*,146.38,1,3,27,21
469,Sanju Samson,2019,12,342,34.2,102*,148.69,2,0,28,13
470,Mayank Agarwal,2019,13,332,25.53,58,141.88,0,2,26,14
471,Steve Smith,2019,12,319,39.87,73*,116,2,3,30,4
472,Jos Buttler,2019,8,311,38.87,89,151.7,0,3,38,14
473,Shubman Gill,2019,14,296,32.88,76,124.36,4,3,21,10
474,Robin Uthappa,2019,12,282,31.33,67*,115.1,2,1,28,10
475,Ambati Rayudu,2019,17,282,23.5,57,93.06,5,1,20,7
476,Kieron Pollard,2019,16,279,34.87,83,156.74,6,1,14,22
477,Dinesh Karthik,2019,14,253,31.62,97*,146.24,5,2,22,14
478,Vijay Shankar,2019,15,244,20.33,40*,126.42,2,0,11,12
479,Moeen Ali,2019,11,220,27.5,66,165.41,2,2,16,17
480,David Miller,2019,10,213,26.62,59*,129.87,2,1,19,7
481,Marcus Stoinis,2019,10,211,52.75,46*,135.25,6,0,14,10
482,Colin Ingram,2019,12,184,18.4,47,119.48,2,0,20,5
483,Krunal Pandya,2019,16,183,16.63,42,122,4,0,18,5
484,Sarfaraz Khan,2019,8,180,45,67,125.87,1,1,19,4
485,Nicholas Pooran,2019,7,168,28,48,157,0,0,10,14
486,Mandeep Singh,2019,13,165,41.25,33*,137.5,8,0,10,4
487,Kedar Jadhav,2019,14,162,18,58,95.85,3,1,19,3
488,Riyan Parag,2019,7,160,32,50,126.98,0,1,17,5
489,Kane Williamson,2019,9,156,22.28,70*,120,2,1,12,5
490,Sunil Narine,2019,12,143,17.87,47,166.27,1,0,17,9
491,Rahul Tripathi,2019,8,141,23.5,50,119.49,1,1,13,2
492,Ben Stokes,2019,9,123,20.5,46,124.24,3,0,8,4
493,Mohammad Nabi,2019,8,115,19.16,31,151.31,1,0,8,7
494,Axar Patel,2019,14,110,18.33,26,125,6,0,10,3
495,Ravindra Jadeja,2019,16,106,35.33,31*,120.45,6,0,7,4
496,Ishan Kishan,2019,7,101,16.83,28,101,0,0,8,4
497,Gurkeerat Mann Singh,2019,3,98,32.66,65,140,0,1,11,2
498,Yuvraj Singh,2019,4,98,24.5,53,130.66,0,1,7,6
499,Sam Curran,2019,9,95,23.75,55*,172.72,4,1,13,3
500,Shimron Hetmyer,2019,5,90,18,75,123.28,0,1,4,7
501,Wriddhiman Saha,2019,5,86,17.2,28,162.26,0,0,13,1
502,Colin Munro,2019,4,84,21,40,120,0,0,9,4
503,Martin Guptill,2019,3,81,27,36,152.83,0,0,4,7
504,Dwayne Bravo,2019,12,80,16,27,121.21,4,0,6,3
505,Sherfane Rutherford,2019,7,73,14.6,28*,135.18,2,0,2,7
506,Liam Livingstone,2019,4,71,23.66,44,147.91,1,0,6,5
507,Stuart Binny,2019,8,70,23.33,33*,175,2,0,5,4
508,Jofra Archer,2019,11,67,33.5,27*,167.5,3,0,4,4
509,Murali Vijay,2019,2,64,32,38,104.91,0,0,6,1
510,Deepak Hooda,2019,11,64,10.66,20,101.58,1,0,5,1
511,Shreyas Gopal,2019,14,63,15.75,19*,136.95,3,0,8,1
512,Akshdeep Nath,2019,8,61,12.2,24,107.01,0,0,5,2
513,Evin Lewis,2019,3,48,16,32,92.3,0,0,4,2
514,Colin de Grandhomme,2019,4,46,15.33,37,93.87,1,0,4,2
515,Piyush Chawla,2019,13,42,14,14*,113.51,2,0,4,2
516,Ravichandran Ashwin,2019,14,42,8.4,17*,150,1,0,3,3
517,Shivam Dube,2019,4,40,13.33,24,121.21,1,0,1,3
518,Yusuf Pathan,2019,10,40,13.33,16*,88.88,5,0,1,1
519,Rinku Singh,2019,5,37,18.5,30,108.82,1,0,1,2
520,Rashid Khan,2019,15,34,6.8,17*,147.82,3,0,2,2
521,Mitchell Santner,2019,4,32,32,22,139.13,1,0,0,3
522,Chris Morris,2019,9,32,5.33,17,86.48,0,0,1,2
523,Rahul Tewatia,2019,5,26,26,11*,118.18,3,0,2,1
524,Umesh Yadav,2019,11,25,12.5,14,100,5,0,3,1
525,Amit Mishra,2019,11,21,10.5,8,87.5,2,0,2,0
526,Harpreet Brar,2019,2,20,0,20*,166.66,1,0,2,1
527,Prayas Ray Barman,2019,1,19,19,19,79.16,0,0,2,0
528,Ben Cutting,2019,3,18,9,13*,105.88,1,0,1,1
529,Krishnappa Gowtham,2019,7,18,6,9,94.73,1,0,1,1
530,Keemo Paul,2019,8,18,3.6,7,75,1,0,1,1
531,Prabhsimran Singh,2019,1,16,16,16,94.11,0,0,1,1
532,Siddhesh Lad,2019,1,15,15,15,115.38,0,0,1,1
533,Alzarri Joseph,2019,3,15,0,15*,115.38,2,0,2,0
534,Shardul Thakur,2019,10,14,7,12*,200,1,0,1,1
535,Kagiso Rabada,2019,12,14,4.66,9,93.33,1,0,0,1
536,Kuldeep Yadav,2019,9,12,6,10*,150,2,0,1,0
537,Rahul Chahar,2019,13,12,6,10,109.09,2,0,2,0
538,Bhuvneshwar Kumar,2019,15,12,4,7*,63.15,2,0,1,0
539,Carlos Brathwaite,2019,2,11,5.5,6,110,0,0,1,0
540,Mitchell McClenaghan,2019,5,11,3.66,10,68.75,1,0,2,0
541,Ishant Sharma,2019,13,10,0,10*,333.33,3,0,1,1
542,KC Cariappa,2019,1,9,0,9*,300,1,0,0,1
543,Abhishek Sharma,2019,3,9,4.5,5*,100,1,0,1,0
544,Heinrich Klaasen,2019,3,9,4.5,6,90,0,0,0,0
545,Shakib Al Hasan,2019,3,9,9,9,90,0,0,0,0
546,Tim Southee,2019,3,9,0,9*,100,1,0,0,0
547,Pawan Negi,2019,7,9,2.25,5,75,0,0,1,0
548,Mahipal Lomror,2019,2,8,8,8,266.66,0,0,2,0
549,Nikhil Naik,2019,1,7,7,7,43.75,0,0,1,0
550,Ricky Bhui,2019,1,7,7,7,58.33,0,0,0,0
551,Trent Boult,2019,5,7,7,6,175,2,0,0,1
552,Deepak Chahar,2019,17,7,3.5,7,77.77,0,0,1,0
553,Jagadeesha Suchith,2019,1,6,6,6,40,0,0,0,0
554,Ish Sodhi,2019,2,6,6,6,54.54,0,0,0,0
555,Mayank Markande,2019,3,6,6,6,120,1,0,1,0
556,Sandeep Sharma,2019,11,6,0,5*,200,2,0,1,0
557,Yuzvendra Chahal,2019,14,6,3,4,37.5,1,0,0,0
558,Dhruv Shorey,2019,1,5,5,5,62.5,0,0,0,0
559,Karun Nair,2019,1,5,5,5,83.33,0,0,0,0
560,Rasikh Salam,2019,1,5,0,5*,125,1,0,0,0
561,Dhawal Kulkarni,2019,10,5,0,5*,166.66,1,0,1,0
562,Avesh Khan,2019,1,4,0,4*,133.33,1,0,1,0
563,Hanuma Vihari,2019,2,4,2,2,50,0,0,0,0
564,Mohammed Siraj,2019,9,4,4,3*,28.57,3,0,0,0
565,Barinder Sran,2019,2,3,0,3*,100,1,0,0,0
566,Ashton Turner,2019,4,3,1,3*,30,1,0,0,0
567,Varun Aaron,2019,5,3,0,3*,42.85,1,0,0,0
568,Hardus Viljoen,2019,6,3,1.5,2*,42.85,1,0,0,0
569,Murugan Ashwin,2019,10,3,3,1*,60,2,0,0,0
570,Navdeep Saini,2019,13,2,2,2,50,1,0,0,0
571,Basil Thampi,2019,3,1,0,1*,100,1,0,0,0
572,Washington Sundar,2019,3,1,0.5,1,33.33,0,0,0,0
573,Harry Gurney,2019,8,1,0,1*,20,1,0,0,0
574,Harbhajan Singh,2019,11,1,1,1,33.33,0,0,0,0
575,Jaydev Unadkat,2019,11,1,1,1,33.33,3,0,0,0
576,Mohammad Shami,2019,14,1,1,1*,50,1,0,0,0
577,Joe Denly,2019,1,0,0,0*,0,0,0,0,0
578,Mohit Sharma,2019,1,0,0,0*,0,1,0,0,0
579,Sam Billings,2019,1,0,0,0*,0,0,0,0,0
580,Harshal Patel,2019,2,0,0,0*,0,1,0,0,0
581,Prithvi Raj Yarra,2019,2,0,0,0*,0,1,0,0,0
582,Mujeeb Ur Rahman,2019,5,0,0,0*,0,2,0,0,0
583,Andrew Tye,2019,6,0,0,0*,0,1,0,0,0
584,Sandeep Lamichhane,2019,6,0,0,0*,0,0,0,0,0
585,Siddarth Kaul,2019,7,0,0,0*,0,1,0,0,0
586,Khaleel Ahmed,2019,9,0,0,0*,0,0,0,0,0
587,Prasidh Krishna,2019,11,0,0,0*,0,0,0,0,0
588,Jasprit Bumrah,2019,16,0,0,0*,0,3,0,0,0
589,Kane Williamson,2018,17,735,52.5,84,142.44,3,8,64,28
590,Rishabh Pant,2018,14,684,52.61,128*,173.6,1,5,68,37
591,KL Rahul,2018,14,659,54.91,95*,158.41,2,6,66,32
592,Ambati Rayudu,2018,16,602,43,100*,149.75,2,3,53,34
593,Shane Watson,2018,15,555,39.64,117*,154.59,1,2,44,35
594,Jos Buttler,2018,13,548,54.8,95*,155.24,3,5,52,21
595,Virat Kohli,2018,14,530,48.18,92*,139.1,3,4,52,18
596,Suryakumar Yadav,2018,14,512,36.57,72,133.33,0,4,61,16
597,Dinesh Karthik,2018,16,498,49.8,52,147.77,6,2,49,16
598,Shikhar Dhawan,2018,16,497,38.23,92*,136.91,3,4,59,14
599,Chris Lynn,2018,16,491,32.73,74,130.23,1,3,56,18
600,AB de Villiers,2018,12,480,53.33,90*,174.54,2,6,39,30
601,MS Dhoni,2018,16,455,75.83,79*,150.66,9,3,24,30
602,Suresh Raina,2018,15,445,37.08,75*,132.44,3,4,46,12
603,Sanju Samson,2018,15,441,31.5,92*,137.81,1,3,30,19
604,Shreyas Iyer,2018,14,411,37.36,93*,132.58,3,4,29,21
605,Evin Lewis,2018,13,382,29.38,65,138.4,0,2,32,24
606,Ajinkya Rahane,2018,15,370,28.46,65*,118.21,1,1,39,5
607,Chris Gayle,2018,11,368,40.88,104*,146.03,2,3,30,27
608,Sunil Narine,2018,16,357,22.31,75,189.89,0,2,40,23
609,Robin Uthappa,2018,16,351,21.93,54,132.45,0,1,30,21
610,Andre Russell,2018,16,316,28.72,88*,184.79,3,1,17,31
611,Nitish Rana,2018,15,304,23.38,59,131.03,2,1,26,14
612,Karun Nair,2018,13,301,25.08,54,136.19,0,2,23,13
613,Rohit Sharma,2018,14,286,23.83,94,133.02,2,2,25,12
614,Manish Pandey,2018,15,284,25.81,62*,115.44,2,3,22,5
615,Ishan Kishan,2018,14,275,22.91,62,149.45,0,2,22,17
616,Hardik Pandya,2018,13,260,28.88,50,133.33,4,1,20,11
617,Yusuf Pathan,2018,15,260,28.88,45*,130,4,0,22,11
618,Mandeep Singh,2018,14,252,25.2,47*,135.48,3,0,16,11
619,Prithvi Shaw,2018,9,245,27.22,65,153.12,0,2,27,10
620,Shakib Al Hasan,2018,17,239,21.72,35,121.31,2,0,26,5
621,Krunal Pandya,2018,14,228,22.8,41*,145.22,3,0,22,10
622,Rahul Tripathi,2018,12,226,25.11,80*,135.32,3,1,18,8
623,Vijay Shankar,2018,13,212,53,54*,143.24,7,1,11,11
624,Shubman Gill,2018,13,203,33.83,57*,146.04,5,1,22,5
625,Quinton de Kock,2018,8,201,25.12,53,124.07,0,1,20,8
626,Ben Stokes,2018,13,196,16.33,45,121.73,1,0,13,6
627,Glenn Maxwell,2018,12,169,14.08,47,140.83,0,0,14,9
628,Faf du Plessis,2018,6,162,32.4,67*,125.58,1,1,17,6
629,Parthiv Patel,2018,6,153,30.6,53,140.36,1,1,20,4
630,Alex Hales,2018,6,148,24.66,45,125.42,0,0,13,6
631,Dwayne Bravo,2018,16,141,35.25,68,154.94,6,1,8,10
632,Aaron Finch,2018,10,134,16.75,46,134,1,0,6,8
633,Kieron Pollard,2018,9,133,19,50,133,1,1,10,7
634,Colin de Grandhomme,2018,9,131,26.2,40,155.95,3,0,4,10
635,Brendon McCullum,2018,6,127,21.16,43,144.31,0,0,16,6
636,Krishnappa Gowtham,2018,15,126,14,33*,196.87,4,0,9,9
637,Wriddhiman Saha,2018,11,122,15.25,35,119.6,2,0,17,1
638,Jason Roy,2018,5,120,30,91*,127.65,1,1,9,7
639,Mayank Agarwal,2018,11,120,12,30,127.65,1,0,9,5
640,D'Arcy Short,2018,7,115,16.42,44,116.16,0,0,11,5
641,Sam Billings,2018,10,108,13.5,56,138.46,0,1,8,5
642,Ravichandran Ashwin,2018,14,102,12.75,45,143.66,1,0,7,5
643,Marcus Stoinis,2018,7,99,24.75,29*,130.26,3,0,6,4
644,Ben Cutting,2018,9,96,24,37,165.51,2,0,5,8
645,Ravindra Jadeja,2018,16,89,17.8,27*,120.27,5,0,3,4
646,Deepak Hooda,2018,9,87,21.75,32*,107.4,4,0,2,3
647,Gautam Gambhir,2018,6,85,17,55,96.59,0,1,8,1
648,Axar Patel,2018,9,80,13.33,19,115.94,2,0,3,4
649,Moeen Ali,2018,5,77,19.25,65,167.39,0,1,4,6
650,Carlos Brathwaite,2018,4,75,25,43*,156.25,1,0,1,8
651,David Miller,2018,3,74,37,26,115.62,1,0,3,2
652,Washington Sundar,2018,7,65,21.66,35,171.05,3,0,5,4
653,Yuvraj Singh,2018,8,65,10.83,20,89.04,0,0,6,2
654,Abhishek Sharma,2018,3,63,63,46*,190.9,2,0,3,5
655,Colin Munro,2018,5,63,12.6,33,153.65,0,0,7,4
656,Harshal Patel,2018,5,60,60,36*,181.81,1,0,1,6
657,Rashid Khan,2018,17,59,11.8,34*,190.32,2,0,3,6
658,Heinrich Klaasen,2018,4,57,19,32,121.27,1,0,5,1
659,Manan Vohra,2018,4,55,13.75,45,117.02,0,0,2,4
660,Shreevats Goswami,2018,6,52,17.33,35,130,0,0,6,1
661,Tim Southee,2018,8,52,26,36*,113.04,2,0,5,1
662,Sarfaraz Khan,2018,7,51,10.2,22*,124.39,1,0,7,1
663,Rahul Tewatia,2018,8,50,16.66,24,116.27,2,0,5,1
664,Shreyas Gopal,2018,11,50,16.66,24,111.11,1,0,5,0
665,Deepak Chahar,2018,12,50,16.66,39,172.41,1,0,1,4
666,Jaydev Unadkat,2018,15,49,12.25,26,128.94,3,0,6,1
667,Manoj Tiwary,2018,5,47,15.66,35,106.81,1,0,4,1
668,Chris Morris,2018,4,46,46,27*,176.92,3,0,3,2
669,Stuart Binny,2018,7,44,8.8,22,112.82,0,0,2,2
670,JP Duminy,2018,6,36,36,23,90,3,0,3,1
671,Andrew Tye,2018,14,32,5.33,14,84.21,2,0,2,1
672,Rinku Singh,2018,4,29,7.25,16,93.54,0,0,4,0
673,Harbhajan Singh,2018,13,29,9.66,19,80.55,0,0,3,1
674,Piyush Chawla,2018,15,27,6.75,12,79.41,3,0,1,1
675,Dan Christian,2018,4,26,13,13,78.78,1,0,0,1
676,Mohammed Siraj,2018,11,25,12.5,14,113.63,2,0,2,1
677,Kedar Jadhav,2018,1,24,0,24*,109.09,1,0,1,2
678,Tom Curran,2018,5,23,7.66,18,82.14,1,0,3,0
679,Mayank Markande,2018,14,21,10.5,7*,87.5,4,0,2,0
680,Mahipal Lomror,2018,2,20,20,11,95.23,1,0,1,0
681,Mohammad Nabi,2018,2,18,9,14,150,0,0,3,0
682,Corey Anderson,2018,3,17,5.66,15,77.27,0,0,0,1
683,Chris Woakes,2018,5,17,8.5,11,89.47,2,0,1,1
684,Mitchell Johnson,2018,6,16,0,12*,145.45,2,0,2,0
685,Jofra Archer,2018,10,15,3,8,71.42,3,0,2,0
686,Shardul Thakur,2018,13,15,0,15*,300,1,0,3,0
687,Shivam Mavi,2018,9,13,4.33,7,86.66,1,0,1,0
688,Bhuvneshwar Kumar,2018,12,13,6.5,7,81.25,2,0,1,0
689,Murali Vijay,2018,1,12,12,12,120,0,0,0,1
690,Kuldeep Yadav,2018,16,12,12,7*,50,2,0,1,0
691,Ankit Rajpoot,2018,8,11,3.66,8,61.11,0,0,1,0
692,Mitchell McClenaghan,2018,11,11,5.5,11*,110,3,0,1,1
693,Mohit Sharma,2018,9,10,10,4*,76.92,3,0,1,0
694,Mujeeb Ur Rahman,2018,11,10,10,10*,142.85,1,0,2,0
695,Jasprit Bumrah,2018,14,10,10,6*,90.9,2,0,1,0
696,Akshdeep Nath,2018,1,9,9,9,69.23,0,0,1,0
697,Dhruv Shorey,2018,1,8,8,8,88.88,0,0,0,1
698,Prashant Chopra,2018,1,8,8,8,133.33,0,0,2,0
699,Javon Searles,2018,4,8,8,6*,133.33,1,0,0,1
700,Mohammad Shami,2018,4,7,7,7,116.66,0,0,1,0
701,Vinay Kumar,2018,2,6,0,6*,200,1,0,1,0
702,Shahbaz Nadeem,2018,6,6,0,6*,75,1,0,0,0
703,Dhawal Kulkarni,2018,8,6,6,3*,85.71,1,0,0,0
704,Billy Stanlake,2018,4,5,0,5*,250,1,0,1,0
705,Akila Dananjaya,2018,1,4,0,4*,80,1,0,0,0
706,Pawan Negi,2018,2,3,1.5,3,60,0,0,0,0
707,Anureet Singh,2018,3,3,0,3*,75,1,0,0,0
708,Basil Thampi,2018,4,3,3,3,50,1,0,0,0
709,Barinder Sran,2018,6,3,3,2,42.85,3,0,0,0
710,Umesh Yadav,2018,14,3,0.75,1*,27.27,1,0,0,0
711,Siddarth Kaul,2018,17,3,1,2,21.42,1,0,0,0
712,Imran Tahir,2018,6,2,0,2*,100,1,0,0,0
713,Mark Wood,2018,1,1,1,1,33.33,0,0,0,0
714,Naman Ojha,2018,1,1,1,1,25,0,0,0,0
715,Murugan Ashwin,2018,2,1,1,1,50,0,0,0,0
716,Ish Sodhi,2018,6,1,1,1,16.66,0,0,0,0
717,Ben Laughlin,2018,7,1,1,1*,25,1,0,0,0
718,Liam Plunkett,2018,7,1,1,1*,33.33,1,0,0,0
719,Mustafizur Rahman,2018,7,1,1,1,33.33,1,0,0,0
720,Prasidh Krishna,2018,7,1,0,1*,20,2,0,0,0
721,Amit Mishra,2018,10,1,0,1*,50,1,0,0,0
722,Pradeep Sangwan,2018,1,0,0,0*,0,0,0,0,0
723,Ricky Bhui,2018,1,0,0,0*,0,0,0,0,0
724,Sandeep Sharma,2018,12,0,0,0*,0,1,0,0,0
725,Trent Boult,2018,14,0,0,0*,0,0,0,0,0
726,Yuzvendra Chahal,2018,14,0,0,0*,0,1,0,0,0
727,David Warner,2017,14,641,58.27,126,141.81,3,4,63,26
728,Gautam Gambhir,2017,16,498,41.5,76*,128.02,4,4,61,7
729,Shikhar Dhawan,2017,14,479,36.84,77,127.39,1,3,53,9
730,Steve Smith,2017,15,472,39.33,84*,121.96,3,3,38,12
731,Suresh Raina,2017,14,442,40.18,84,143.97,3,3,42,13
732,Hashim Amla,2017,10,420,60,104*,145.83,3,2,40,17
733,Manish Pandey,2017,14,396,49.5,81*,128.57,5,2,28,12
734,Parthiv Patel,2017,16,395,24.68,70,134.81,0,2,49,8
735,Rahul Tripathi,2017,14,391,27.92,93,146.44,0,2,43,17
736,Robin Uthappa,2017,14,388,29.84,87,165.1,0,5,36,21
737,Sanju Samson,2017,14,386,27.57,102,141.39,0,2,32,19
738,Kieron Pollard,2017,17,385,29.61,70,139.49,3,3,26,22
739,Ajinkya Rahane,2017,16,382,25.46,60,118.26,1,2,35,9
740,Rishabh Pant,2017,14,366,26.14,97,165.61,0,2,28,24
741,Dinesh Karthik,2017,14,361,36.1,65,139.38,3,2,30,11
742,Shreyas Iyer,2017,12,338,33.8,96,139.09,2,2,36,10
743,Nitish Rana,2017,13,333,30.27,62*,126.13,1,3,24,17
744,Rohit Sharma,2017,17,333,23.78,67,121.97,2,3,31,9
745,Manoj Tiwary,2017,15,324,32.4,60,137.28,3,2,31,11
746,Brendon McCullum,2017,11,319,29,72,147,0,2,29,18
747,Ben Stokes,2017,12,316,31.6,103*,142.98,1,1,22,15
748,Glenn Maxwell,2017,14,310,31,47,173.18,3,0,19,26
749,Virat Kohli,2017,10,308,30.8,64,122.22,0,4,23,11
750,Aaron Finch,2017,13,299,24.91,72,166.11,1,2,25,19
751,Chris Lynn,2017,7,295,49.16,93*,180.98,1,3,25,19
752,MS Dhoni,2017,16,290,26.36,61*,116,4,1,15,16
753,Karun Nair,2017,14,281,21.61,64,124.33,0,1,39,6
754,Ishan Kishan,2017,11,277,27.7,61,134.46,0,1,29,13
755,Moises Henriques,2017,12,277,46.16,55*,136.45,5,3,28,4
756,Jos Buttler,2017,10,272,27.2,77,153.67,0,1,27,15
757,Kedar Jadhav,2017,13,267,22.25,69,143.54,1,1,25,10
758,Shaun Marsh,2017,9,264,33,84,136.08,0,2,36,5
759,Kane Williamson,2017,7,256,42.66,89,151.47,1,2,20,10
760,Yuvraj Singh,2017,12,252,28,70*,142.37,2,2,30,8
761,Hardik Pandya,2017,17,250,35.71,35*,156.25,9,0,11,20
762,Krunal Pandya,2017,13,243,34.71,47,135.75,4,0,24,7
763,Dwayne Smith,2017,12,239,21.72,74,153.2,1,2,32,8
764,Wriddhiman Saha,2017,14,234,23.4,93*,125.13,1,1,20,8
765,Manan Vohra,2017,11,229,25.44,95,144.02,0,1,23,9
766,Axar Patel,2017,14,227,28.37,44,140.12,5,0,11,11
767,Sunil Narine,2017,16,224,17.23,54,172.3,1,1,34,10
768,AB de Villiers,2017,9,216,27,89*,132.51,1,1,12,16
769,Chris Gayle,2017,9,200,22.22,77,122.69,0,1,15,14
770,Mandeep Singh,2017,11,188,18.8,52,106.21,0,1,21,4
771,Ravindra Jadeja,2017,12,158,39.5,28,139.82,6,0,13,4
772,Chris Morris,2017,9,154,30.8,52*,163.82,4,1,15,6
773,Travis Head,2017,7,151,30.2,75*,139.81,2,1,9,6
774,Pawan Negi,2017,12,144,18,35,129.72,2,0,10,7
775,Yusuf Pathan,2017,15,143,17.87,59,124.34,3,1,9,6
776,Corey Anderson,2017,11,142,20.28,41*,115.44,4,0,8,9
777,Sam Billings,2017,6,138,23,55,132.69,0,1,19,1
778,Lendl Simmons,2017,7,137,19.57,66,122.32,0,2,10,8
779,Martin Guptill,2017,7,132,22,50*,150,1,1,17,5
780,Colin de Grandhomme,2017,12,126,15.75,36,136.95,1,0,10,6
781,Suryakumar Yadav,2017,10,105,17.5,31,119.31,1,0,8,3
782,Vijay Shankar,2017,4,101,50.5,63*,134.66,2,1,12,1
783,Ambati Rayudu,2017,5,91,18.2,63,116.66,0,1,7,3
784,David Miller,2017,5,83,27.66,30*,103.75,1,0,4,4
