 Serial No,Playerss,Year,Matches,Runss,Average,Higest_score,Strike Rate,NO,Fifty,Four,Six
87,Odean Smith,2022,6,51,17,25*,115.9,3,0,1,5
88,Kagiso Rabada,2022,13,48,9.6,25,111.62,3,0,5,2
89,Kuldeep Yadav,2022,14,48,48,16*,92.3,6,0,3,2
90,Priyam Garg,2022,2,46,23,42,139.39,0,0,4,2
91,Ramandeep Singh,2022,5,45,22.5,14*,112.5,2,0,3,1
92,Dwaine Pretorius,2022,6,44,11,22,157.14,1,0,3,3
93,Dushmantha Chameera,2022,12,43,10.75,17,153.57,4,0,3,3
94,Harshal Patel,2022,15,43,8.6,11,110.25,3,0,4,2
95,Hrithik Shokeen,2022,5,43,21.5,25,89.58,1,0,5,0
96,Trent Boult,2022,16,40,20,17*,137.93,6,0,2,1
97,Jagadeesan Narayan,2022,2,40,40,39*,108.1,1,0,3,1
98,Daniel Sams,2022,11,38,5.43,15,105.55,3,0,1,3
99,Wanindu Hasaranga,2022,16,38,5.43,18,88.37,0,0,4,1
100,Rishi Dhawan,2022,6,37,18.5,21*,92.5,2,0,4,2
101,Daryl Mitchell,2022,2,33,16.5,17,75,0,0,1,0
102,Sherfane Rutherford,2022,3,33,16.5,28,66,0,0,1,1
103,James Neesham,2022,2,31,15.5,17,114.81,0,0,3,0
104,Mohammed Siraj,2022,15,30,15,14*,90.9,3,0,5,0
105,Tim Seifert,2022,2,24,12,21,126.31,0,0,4,0
106,Bhuvneshwar Kumar,2022,14,24,8,8,92.3,3,0,3,0
107,Mohsin Khan,2022,9,23,23,13*,143.75,2,0,2,1
108,Dwayne Bravo,2022,10,23,11.5,12,95.83,4,0,1,1
109,Sheldon Jackson,2022,5,23,5.75,8,88.46,1,0,0,1
110,Avesh Khan,2022,13,22,22,12,169.23,3,0,0,3
111,Rassie van der Dussen,2022,3,22,11,12*,91.66,1,0,2,0
112,Harpreet Brar,2022,5,22,7.33,14,88,0,0,1,2
113,Mitchell Santner,2022,6,22,11,11,81.48,2,0,3,0
114,Arshdeep Singh,2022,14,21,7,10*,72.41,3,0,3,0
115,B Indrajith,2022,3,21,7,15,70,0,0,2,0
116,Manan Vohra,2022,2,19,19,19,172.72,0,0,1,2
117,Vijay Shankar,2022,4,19,4.75,13,54.28,0,0,1,0
118,Mandeep Singh,2022,3,18,6,18,78.26,0,0,4,0
119,Josh Hazlewood,2022,12,18,-,7*,69.23,5,0,1,0
120,David Willey,2022,4,18,9,18,60,0,0,3,0
121,Karun Nair,2022,3,16,8,13,88.88,0,0,1,0
122,Simran Singh,2022,1,14,14,14,127.27,0,0,2,0
